Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Tara,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Tara,1926,,MDL B2,,COLOUR,paper,plans (large),2-Jan,complete set
Tatamagouche,1900,1897,Fisher Rare Book Library,,COLOUR,paper,plans,1,
TAVISTOCK,1894,1904,MDL G 3401 G475 1878-,9723,BW,microfiche,,,
Tavistock,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Tavistock,1926,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
TEESWATER,1904,,MDL G 3401 G475 1878-,13976,BW,microfiche,,,
Terrace,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
Terrebonne,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Terrebonne,1956,,MDL B2,,COLOUR,paper,plans,14-Jan,complete set
THAMESFORD,1899,1904,MDL G 3401 G475 1878-,10624,BW,microfiche,,,
Thamesville,1925,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Thamesville,1925,,MDL B2,,COLOUR,paper,plans (large),3-Jan,complete set
The Pas,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,12,
The Pas,1962,,MDL B2,,COLOUR,paper,plans,8-Jan,complete set
THEDFORD,1906,,MDL G 3401 G475 1878-,9726,BW,microfiche,,,
THEDFORD,1884,1900,MDL G 3401 G475 1878-,13977,BW,microfiche,,,
Thessalon,1922,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Thessalon,1922,,MDL B2,,COLOUR,paper,plans (large),7-Jan,complete set
Thetford Mines,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,53,
Thetford Mines,1959,,MDL B2,,COLOUR,paper,plans,"1-38, 41-46",incomplete set
Thompson,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,11,
Thompson,1961,,MDL B2,,COLOUR,paper,plans,4-Jan,incomplete set
Thornbury,1925,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Thornbury,1925,,MDL B2,,COLOUR,paper,plans (large),4-Jan,complete set
THORNBURY,1890,,MDL G 3401 G475 1878-,51404,BW,microfiche,,,
THORNBURY,1890,,MDL G 3401 G475 1878-,9730,BW,microfiche,,,
Thornhill,1910,,Map and Data Library,,BW,Digital; DVD-[238],plans,1,
THOROLD,1897,,MDL G 3401 G475 1878-,9732,BW,microfiche,,3-Jan,complete set
THOROLD,1922,,MDL G 3401 G475 1878-,31793,BW,microfiche,,Only sheet 10,incomplete set
THOROLD,1943,1945,MDL G 3401 G475 1878-,33007,BW,microfiche,,,
THOROLD,1914,,MDL G 3401 G475 1878-,9733,BW,microfiche,,,
Thunder Bay,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,89,Vol.1
Thunder Bay,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,80,Vol.2
